Property.Address.StreetAddress,Property.Address.UnitNumber,Property.Address.City,Property.Address.Province,PostalCode,Property.Address.Country,Property.Address.Latitude,Property.Address.Longitude,MlsNumber,Property.PriceUnformattedValue,DetailsURL,Building.SizeInterior,Building.Bedrooms,Building.BathroomTotal,Building.StoriesTotal,Building.UnitTotal,Land.SizeTotal,Land.SizeFrontage,Property.PhotoLink,Property.Type,Building.Type,Property.OwnershipType,Property.ParkingType,Property.ParkingSpaceTotal,PublicRemarks
257 Hemlock Street,306,Waterloo,Ontario,N2L3R4,Canada,43.4755342,-80.53219279,40112938,330000,https://realtor.ca/real-estate/23196662/257-hemlock-street-unit-306-waterloo,450.0000,1 + 0,1,1,,,,https://cdn.realtor.ca/listings/TS637564965104300000/reb16/highres/8/40112938_1.jpg,Single Family,Apartment,Condominium,Visitor Parking,,"Great investment opportunity or a private space for your university student! A stylish one-bedroom apartment in Sage X  one of Waterloos newest luxury student oriented condominiums. Located just half a block from Wilfrid Laurier's primary campus, and only five minutes on foot from University of Waterloo, its tough to find a better location for students in all of Waterloo! This sleek and contemporarily styled building boasts numerous on-site amenities, including a workout centre, a social lounge equipped with smart TVs, stainless appliances, insuite laundry, high-end finishes and open concept floor plans. Please note due to covid restrictions photos are stock photos from the builder. Parking available to rent directly from Sage. (63309600)"
944 Caledonian View,405,Cambridge,Ontario,N3H1A5,Canada,43.40578581,-80.35239266,40108466,350000,https://realtor.ca/real-estate/23196485/944-caledonian-view-unit-405-cambridge,1130.0000,2 + 0,0,1,0,,,https://cdn.realtor.ca/listings/TS637564935012330000/reb16/highres/6/40108466_1.jpg,Single Family,Apartment,Condominium,,,"A river runs through it! (or 5 min walk from front door). Almost 1000 sq ft of condo living on the top floor of The Caledonian in Preston area of Cambridge. Spend your summer relaxing on the large balcony which covers the full width of the condo, with sliding doors from bedroom and living room, or bike/walk the trails nearby. This 2 bed, 1 bath condo is large and airy in quiet well maintained building in Preston , near all amenities. Laminate flooring in bedrooms and hall. Great functional layout with spacious central hall and  larger living room/ dining space and bathroom with 2 sinks. Lots of closet space. Laundry room is conveniently located across the hall with a party room, gym, workshop and bike storage on basement level.  What's your personal decorating style - here's your chance to apply it to a really great space! (63304951)"
42 Linnwood Avenue,,Cambridge,Ontario,N1R1V3,Canada,43.36296995,-80.29580612,40105219,497000,https://realtor.ca/real-estate/23196605/42-linnwood-avenue-cambridge,981.0000,3 + 1,2,1,0,under 1/2 acre,40 ft,https://cdn.realtor.ca/listings/TS637564954138730000/reb51/highres/9/40105219_1.jpg,Single Family,House,Freehold,,,"Stunning Alison Park home just hit the market in Cambridge! This adorable home features 3+1 bedrooms, 2 bathrooms, and 981 sq ft of living space. The first floor features a stunning gas fireplace with custom built-in cabinetry, a fun retro-style bathroom, and a bright eat-in kitchen. This wonderful home also boasts a spacious in-law suite, perfect for visiting family and friends; complete with a separate entrance, large kitchen, bedroom, and a full bathroom. During the summer months, entertain in style on the house-wide back deck or the huge front porch, perfect for socially distanced visits! This home also comes equipped with a custom backyard shed, beautiful landscaping, and is walkable to nearby parks and downtown Cambridge! This hot property wont last long, call your REALTOR® today to book a private showing! (63301824)"
318 Briarmeadow Drive,,Kitchener,Ontario,N2A4L1,Canada,43.44056026,-80.42182554,40113125,585000,https://realtor.ca/real-estate/23196484/318-briarmeadow-drive-kitchener,1427.0000,3 + 0,3,2,,under 1/2 acre,20 ft,https://cdn.realtor.ca/listings/TS637564934960400000/reb16/highres/5/40113125_1.jpg,Single Family,Row / Townhouse,Freehold,Attached Garage,2,"Welcome to 318 Briarmeadow!  This FREEHOLD (no fees) townhome is located in a beautiful neighbourhood in Kitchener's East end, backing onto Briarfield Park.  It offers nature views of mature trees from the maintenance-free deck.   This home has been lovingly cared for by the original owner and is in move-in ready condition.  The entrance is spacious and welcoming.   The main floor is carpet-free and the living room, dining space and kitchen are open concept for great interaction.  There is an inside entry to the garage and a 2-pc powder room on this level. Upstairs there are three spacious bedrooms.  The primary bedroom, at the back of the house, overlooks the greenspace and offers a walk-in closet and a 3-pc ensuite.     In the basement you'll find a walk-out to the covered patio, the laundry room, a rough-in for a bathroom, and a cold cellar.   The basement is presently used for storage but provides a great space for you to create a finished family room.  The location can't be beat - skiing and walking/biking trails nearby, so many useful amenities on Fairway Road,  a quick drive to the 401 or highway 7/8, easy accessibility to Cambridge, Guelph or Waterloo.   Book your showing today! (63309609)"
3085 Kingsway Drive,21,Kitchener,Ontario,N2C2P1,Canada,43.42348255,-80.44293175,40112500,399900,https://realtor.ca/real-estate/23196449/3085-kingsway-drive-unit-21-kitchener,,3 + 0,1,1,,,,https://cdn.realtor.ca/listings/TS637564929589800000/reb16/highres/0/40112500_1.jpg,Single Family,Apartment,Condominium,,,"Welcome to this stunning three bedroom condo.  This home has been updated throughout. Enjoy the high end laminate floors starting from entrance through to all three bedrooms and open concept living, dining and kitchen.  Recent updates include plumbing throughout, new washer and dryer, bathroom, kitchen cabinets and counter tops, new appliances, freshly painted, new furnace and AC. The large living room has a wood burning fireplace and a balcony out to a serene, private setting.  The balcony also has a convenient storage locker. Steps to shopping, transit and schools. Two minutes to express way. Truly a place to call home. (63308949)"
26 Lisbon Pines Drive,,Cambridge,Ontario,N1R7Z8,Canada,43.34899938,-80.28079144,40110775,535000,https://realtor.ca/real-estate/23196442/26-lisbon-pines-drive-cambridge,,3 + 0,2,2,0,under 1/2 acre,36 ft,https://cdn.realtor.ca/listings/TS637564928943600000/reb20/highres/5/40110775_1.jpg,Single Family,House,Freehold,Attached Garage,2,"Welcome to 26 Lisbon Pines Drive located in Galt/East, minutes to Hwy 8 for those who commute to Dundas and Hamilton, and approx. 10 mins to the 401 via Franklin Blvd. This two storey semi detached home has three bedrooms and a four piece ensuite privilege bathroom on the second level. The main floor: kitchen with garage access, two piece bathroom, living room and dinette with access to the deck and back yard from sliding patio doors. The lower level has a rough in for a two piece bathroom, a cold cellar, laundry area and storage. Updates include: Upper bathroom with newer tub, tile, toilet, sink, vanity and faucets, dishwasher 2015, roof shingles 2018, central air (HVAC) 2007, skylight, main floor toilet, garage door and front door 2019, new lighting on the main level 2016, kitchen counter, backsplash, sink and faucet 2015, new thermostats, driveway 2018, shed 2013, water softener (owned) 2018 and main level toilet 2021. There is a rough in for central vacuum and rough in for a two piece bathroom in the lower level. The backyard is very private, fully fenced with a large deck and shed. Schools: Public: Moffat Creek Public School. JK-8 (offers French Emersion), Glenview Park Secondary High School. Catholic: Holy Spirit Catholic School JK-8, Monsignor Doyle Catholic High School To view the virtual tour: https://tours.eyefimedia.com/581023 (63307217)"
132 Brighton Street,1,Waterloo,Ontario,N2J4S5,Canada,43.470999,-80.51763,40097139,500000,https://realtor.ca/real-estate/23195954/132-brighton-street-unit-1-waterloo,,2 + 0,3,2,,0|under 1/2 acre,,https://cdn.realtor.ca/listings/TS637564899388900000/reb16/highres/9/40097139_1.jpg,Single Family,Row / Townhouse,Condominium,Attached Garage,2,"Great end unit townhouse, 2 very large bedrooms with a 5 piece bath including deep soaker tub and separate shower. Main floor offers bright living and dining combo with lots of natural light, updated 2 piece bath and eat-in kitchen with access to upper level deck. Finished rec room features interior access from single car garage, updated 3 piece bath, gas fireplace, cold room, laundry and walk out to the back patio. Bbq's allowed. Safe and quiet complex in desirable location close to University of Waterloo, Laurier, Uptown Waterloo, shopping centres, daycare centres and public transit. Walking and Biking path directly behind the unit runs along a stream that leads to Uptown Waterloo. Great community and location. (63293093)"
690 King St W,320,Kitchener,Ontario,N2G0B9,Canada,43.4551065,-80.5048661,X5232116,435000,https://realtor.ca/real-estate/23196337/320-690-king-st-w-kitchener,,1 + 1,1,,,,,https://cdn.realtor.ca/listings/TS637564905719400000/reb82/highres/6/x5232116_1.jpg,Single Family,Apartment,Condominium/Strata,Underground,1,"Location, Location, Location. Welcome To 690 King Street, Bright 1 Bedroom + Den + Parking + Locker, Laminate Floors Through Out, Modern White Kitchen With Quartz Counter And Glass Backsplash, Stainless Steel Appliances. This 752 Square Feet Of Functional Living Space, Open Concept Kitchen/Living Area Is A Must See.**** EXTRAS **** Stainless Steel Appliances, Washer/Dryer. 1 Locker And 1 Parking Spot Included. Fitness Facility, Entertainment Lounge, Outdoor Terrace On The First Floor. (28428453)"
253 Albert St,204,Waterloo,Ontario,N2L0G3,Canada,43.475099,-80.533111,X5232191,409000,https://realtor.ca/real-estate/23196343/204-253-albert-st-waterloo,,2,2,,,,,https://cdn.realtor.ca/listings/TS637564905729500000/reb82/highres/1/x5232191_1.jpg,Single Family,Apartment,Condominium/Strata,,,"Opportunity Knocks! Corner Unit And One Of The Best-Located Apartments In The Building With Two Bedroom Suite( With Spacious Closets) And Two Washrooms. Plenty Of Natural Light With A Terrific View From The Master Bedroom And The Living Room. Modern Finishes, Stainless Steel Appliances, Laminate Floors, Granite Countertop, And Fully Furnished. Only A 3-Minute Walk To Laurier, Restaurants And Local Amenities. Do Not Miss Out On This Spacious Well-Kept Unit.**** EXTRAS **** Fridge, Stove, Dishwasher, Cloth Washer, Dryer, All Elf (28428534)"
318 Spruce St,907,Waterloo,Ontario,N2L3H6,Canada,43.4791429,-80.5264757,X5232196,399000,https://realtor.ca/real-estate/23196344/907-318-spruce-st-waterloo,,2,2,,,,,https://cdn.realtor.ca/listings/TS637564905730700000/reb82/highres/6/x5232196_1.jpg,Single Family,Apartment,Condominium/Strata,Underground,1,"Wonderful Investment Opportunity. In The Sage 2 Condos. This Almost Completely Furnished 2 Bedroom 2 Washrooms With Laundry In Unit. Ss Fridge, Stove And B/I Dishwasher. Open Balcony From Livingroom. It Also Has 1 Underground Parking Spot (A-4) And Locker (Al-3) On The B1 Level. Close To University Of Waterloo And Laurier.**** EXTRAS **** Excluding: Painting On Wall In Bedroom As Well Mattress. T.V In Living. Patio Furniture In Balcony. (28428540)"
258A Sunview St,1710,Waterloo,Ontario,N2L3V9,Canada,43.474469,-80.533303,X5232364,324900,https://realtor.ca/real-estate/23196354/1710-258a-sunview-st-waterloo,,0,1,,,,,https://cdn.realtor.ca/listings/TS637564905750970000/reb82/highres/4/x5232364_1.jpg,Single Family,Apartment,Condominium/Strata,,,"Fantastic Turn Key Investment Property For Both Investors And End Users Alike, In The Highly Sought After University District. Current Lease End In Sep, 2021, Renewable. Close To The University Of Waterloo, Laurier And Conestoga College. Fully Furnished. Laminate Flooring, Granite Counter Tops And Ample Storage.**** EXTRAS **** Fridge, Stove, Microwave, Built-In Dishwasher(Kitchen S/S Appliances),Stacked Washer And Dryer. (28428718)"
158 King St N,2501,Waterloo,Ontario,N2J2Y2,Canada,43.471779,-80.523614,X5232466,349800,https://realtor.ca/real-estate/23196361/2501-158-king-st-n-waterloo,,1 + 1,2,,,,,https://cdn.realtor.ca/listings/TS637564905968570000/reb82/highres/6/x5232466_1.jpg,Single Family,Apartment,Condominium/Strata,Visitor Parking,,"K2 Condominium. Close To Uptown Waterloo, Wilfrid Laurier University And Park, Few Minutes Driving To University Of Waterloo. Modern Finishes With 9-Feet Ceiling, Custom Kitchen Cabinetry, Stainless Steel Appliances And High Quality Laminate Wood Floors. It Is A Great Opportunity For Owners And Investors.**** EXTRAS **** All Elfs, Appliances,Fridge,Stove,B/I Dishwasher, Stacked Washer And Dryer, Window Covers. Underground Parking (Additional $30K) And Locker (Additional $5K) (28428827)"
158 King St N,802,Waterloo,Ontario,N2J0E5,Canada,43.471779,-80.523614,X5232472,298000,https://realtor.ca/real-estate/23196362/802-158-king-st-n-waterloo,,1,1,,,,,https://cdn.realtor.ca/listings/TS637564905968670000/reb82/highres/2/x5232472_1.jpg,Single Family,Apartment,Condominium/Strata,Underground,,"K2 Condominium. Close To Uptown Waterloo, Wilfrid Laurier University And Park, Few Minutes Driving To University Of Waterloo. Modern Finishes With 9-Feet Ceiling, Custom Kitchen Cabinetry, Stainless Steel Appliances And High Quality Laminate Wood Floors. It Is A Great Opportunity For Owners And Investors.**** EXTRAS **** All Elfs, Appliances,Fridge,Stove,B/I Dishwasher, Stacked Washer And Dryer, Window Covers. Underground Parking (Additional $30K) And Locker (Additional $5K (28428834)"
86 Knotty Pine Ave,,Cambridge,Ontario,N3H0E2,Canada,43.3960128,-80.3808146,X5232279,599999,https://realtor.ca/real-estate/23195873/86-knotty-pine-ave-cambridge,,4,3,3,,31.13 x 64.44 FT ; Irreg;3641.11Sf 38.26Fr D As/City Bill,,https://cdn.realtor.ca/listings/TS637564883794970000/reb86/highres/9/x5232279_1.jpg,Single Family,Row / Townhouse,Freehold,Garage,2,"Corner Lot With Opportunity To Build A Private Fence. Avail It As An Excellent Opportunity To Delightfully Live In Or Invest In Growing City Of Cambridge With Four Bedrooms, 3 Full Washrooms, A Great Room, A Beautiful Kitchen With Quartz Counter Tops And Eat N Breakfast Area. Ready Available To Live. Newly Painted. Newly Laminated And Carpet Flooring. Pot Lights In The Kitchen, Dinning Area And Living Room Makes It Attractive And Fully Lighted.**** EXTRAS **** Potl Fee:116/Month. Ss Fridge, Stove, Dishwasher, Washer & Dryer, All Elf's, Pot Lights, Brand New Fl Carpet & Lamination; Professionally Done Painting; Send Your Offers At: Nuzhatabid@Gmail.Com Bus Stop And School At Walking Distance. (28428152)"
60 Elmsdale Drive,57,Kitchener,Ontario,N2E2G4,Canada,43.42247806,-80.49606579,40112130,400000,https://realtor.ca/real-estate/23195933/60-elmsdale-drive-unit-57-kitchener,,3 + 0,2,3,,,,https://cdn.realtor.ca/listings/TS637564893063570000/reb16/highres/0/40112130_1.jpg,Single Family,Row / Townhouse,Condominium,Attached Garage,4,"Welcome home to 60 Elmsdale Drive unit 57. This great sized end unit, well-kept townhouse is situated in a family friendly community close to McLennan park, schools, shopping, quick highway access, restaurants and so much more. With 3 great levels this home has plenty of living space and features 3 bedrooms and 2 bathrooms. The main floor entrance leads to a generous foyer, laundry area and a rec room area which is currently used as a home office and spare room/den. There are sliders to a beautiful private fenced yard with a great deck and gazebo... what a great space to have bbqs or work outside on warm summer days! The second level has an abundance of natural light and features a large bright kitchen with an island with breakfast bar and room for all your kitchen items. There is a separate dining area that flows into the big living room which has large windows. There is also a convenient 2 pc pwdr room on this level.  All three bedrooms are located on the third level with a  4-pc bathroom. Youre going to love the community pool on those hot summer days! Offer date set for Tues May 18th at 10 am. (63308063)"
36 Woodhaven Road,,Kitchener,Ontario,N2C1T6,Canada,43.42798903,-80.447086,40111490,579900,https://realtor.ca/real-estate/23195934/36-woodhaven-road-kitchener,1000.0000,2 + 1,2,1,2,under 1/2 acre,55 ft,https://cdn.realtor.ca/listings/TS637564893072000000/reb16/highres/0/40111490_1.jpg,Single Family,House,Freehold,Detached Garage,4,"Welcome to 36 Woodhaven Rd.  This solid brick bungalow is located on a quiet tree lined street in desirable Fairview -Kingsdale area.  Walk to the Ion, Transit, Shopping, Schools. Close to 401 and 7/8.  This home is located on a large fenced lot with separate rear entrance, ideal as an in-law or possible duplex.  Large shed with hydro. Separate 22.6 x 12.4 oversized-garage with hydro, attic storage, insulated garage door and side man-door. Move in ready Main floor is bright and spacious, freshly painted,   living room offers picture window and dining room  sliders to 15 x 12.6 deck,  updated main bathroom, updated windows.  Furnace 2014, Hot Water Heater is owned, Roof Shingles approx 10 years.  Separate entrance to large basement ready for your finishing touches with 3 pc bath ( Shower not working )  This home is ideal for first time buyers and investors.  Offers to be viewed May 19th. (63307424)"
